Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"ACE IMPACT               ";3;M;"PUR SANG";6;6;0;3996100,00;473026,00;4469126,00;666016,67;580
"WESTOVER                 ";4;M;"PUR SANG";2;1;1;1371560,00;0,00;1371560,00;685780,00;575
"BLUE ROSE CEN            ";3;F;"PUR SANG";5;4;1;1228530,00;0,00;1228530,00;245706,00;535
"BIG ROCK                 ";3;M;"PUR SANG";8;4;4;798220,00;301598,00;1099818,00;99777,50;535
"ONESTO                   ";4;M;"PUR SANG";2;0;2;628600,00;0,00;628600,00;314300,00;560
"MARHABA YA SANAFI        ";3;M;"PUR SANG";6;2;3;581960,00;0,00;581960,00;96993,33;520
"INSPIRAL                 ";4;F;"PUR SANG";1;1;0;571400,00;0,00;571400,00;571400,00;535
"SAUTERNE                 ";3;F;"PUR SANG";10;4;4;533325,00;203473,00;736798,00;53332,50;525
"FEED THE FLAME           ";3;M;"PUR SANG";6;3;2;484590,00;175365,00;659955,00;80765,00;525
"MQSE DE SEVIGNE          ";4;F;"PUR SANG";5;2;3;368470,00;125823,00;494293,00;73694,00;530
"WARM HEART               ";3;F;"PUR SANG";1;1;0;342840,00;0,00;342840,00;342840,00;520
"KING GOLD                ";6;M;"PUR SANG";6;4;2;324642,00;111036,00;435678,00;54107,00;500
"KELINA                   ";3;F;"PUR SANG";6;2;2;312495,00;131280,00;443775,00;52082,50;515
"THROUGH SEVEN SEAS       ";5;F;"PUR SANG";1;0;1;285500,00;0,00;285500,00;285500,00;530
"GOOD GUESS               ";3;M;"PUR SANG";5;2;1;284560,00;0,00;284560,00;56912,00;535
"HORIZON DORE             ";3;H;"PUR SANG";6;4;2;275600,00;198432,00;474032,00;45933,33;545
"JANNAH ROSE              ";3;F;"PUR SANG";5;3;0;256950,00;0,00;256950,00;51390,00;500
"MELO MELO                ";4;F;"PUR SANG";6;2;3;250860,00;0,00;250860,00;41810,00;505
"NEVER ENDING STORY       ";3;F;"PUR SANG";2;0;2;244330,00;0,00;244330,00;122165,00;475
"SEA SILK ROAD            ";4;F;"PUR SANG";2;1;1;240000,00;0,00;240000,00;120000,00;490
"IRESINE                  ";6;H;"PUR SANG";3;1;2;228620,00;77163,00;305783,00;76206,67;545
"ROSALLION                ";2;M;"PUR SANG";1;1;0;228560,00;0,00;228560,00;228560,00;505
"OPERA SINGER             ";2;F;"PUR SANG";1;1;0;228560,00;0,00;228560,00;228560,00;485
"RAMATUELLE               ";2;F;"PUR SANG";5;3;2;225910,00;0,00;225910,00;45182,00;520
"SIMCA MILLE              ";4;M;"PUR SANG";4;2;1;216780,00;94960,00;311740,00;54195,00;530
"ROSE BLOOM               ";2;F;"PUR SANG";3;2;1;208440,00;0,00;208440,00;69480,00;495
"VANDEEK                  ";2;M;"PUR SANG";1;1;0;199990,00;0,00;199990,00;199990,00;
"HIGHFIELD PRINCESS       ";6;F;"PUR SANG";1;1;0;199990,00;62996,00;262986,00;199990,00;530
"ISAAC SHELBY             ";3;M;"PUR SANG";2;0;2;192590,00;0,00;192590,00;96295,00;520
"LES PAVOTS               ";2;F;"PUR SANG";6;3;3;188820,00;0,00;188820,00;31470,00;485
"DOUBLE MAJOR             ";3;H;"PUR SANG";8;3;5;185700,00;133704,00;319404,00;23212,50;495
"JASNA'S SECRET           ";2;F;"PUR SANG";2;2;0;185000,00;18000,00;203000,00;92500,00;
"BREIZH SKY               ";3;M;"PUR SANG";6;1;4;184015,00;83883,00;267898,00;30669,17;500
"SOBER                    ";4;H;"PUR SANG";5;3;1;180850,00;89519,00;270369,00;36170,00;505
"LIGHT INFANTRY           ";4;M;"PUR SANG";2;0;2;171450,00;54006,00;225456,00;85725,00;525
"TRUESHAN                 ";7;H;"PUR SANG";1;1;0;171420,00;53997,00;225417,00;171420,00;530
"TASMANIA                 ";3;F;"PUR SANG";5;3;1;169300,00;0,00;169300,00;33860,00;500
"CLASSIC FLOWER           ";2;F;"PUR SANG";6;3;3;167500,00;0,00;167500,00;27916,67;450
"ISLANDSINTHESTREAM       ";2;M;"PUR SANG";1;1;0;160000,00;0,00;160000,00;160000,00;495
"THE GOOD MAN             ";6;M;"PUR SANG";5;2;3;158350,00;64131,00;222481,00;31670,00;505
"JACK DARCY               ";4;H;"PUR SANG";2;1;1;158000,00;0,00;158000,00;79000,00;515
"BEAUVATIER               ";2;M;"PUR SANG";5;4;1;157720,00;95041,00;252761,00;31544,00;505
"TRIBALIST                ";4;M;"PUR SANG";3;3;0;154100,00;0,00;154100,00;51366,67;525
"POKER FACE               ";4;H;"PUR SANG";2;2;0;154000,00;0,00;154000,00;77000,00;495
"PERDIKA                  ";3;F;"PUR SANG";5;2;2;151010,00;0,00;151010,00;30202,00;465
"RUE BOISSONADE           ";3;F;"PUR SANG";5;2;3;143190,00;82282,00;225472,00;28638,00;490
"CONTINUOUS               ";3;M;"PUR SANG";2;0;1;143000,00;0,00;143000,00;71500,00;540
"ANMAAT                   ";5;H;"PUR SANG";1;1;0;142850,00;0,00;142850,00;142850,00;535
"LINDY                    ";3;F;"PUR SANG";3;0;2;141730,00;51124,00;192854,00;47243,33;505
"ZORKEN                   ";2;M;"PUR SANG";6;3;2;138500,00;53640,00;192140,00;23083,33;460
"ADELAIDE RIVER           ";3;M;"PUR SANG";1;0;1;137160,00;0,00;137160,00;137160,00;515
"MOON WOLF                ";5;H;"PUR SANG";6;1;5;130680,00;52341,00;183021,00;21780,00;495
"SPYCATCHER               ";5;H;"PUR SANG";2;1;1;126868,00;0,00;126868,00;63434,00;495
"PLACE DU CARROUSEL       ";4;F;"PUR SANG";4;2;1;122680,00;0,00;122680,00;30670,00;505
"GAME RUN                 ";4;H;"PUR SANG";6;3;1;121000,00;59894,00;180894,00;20166,67;480
"FACTEUR CHEVAL           ";4;H;"PUR SANG";4;0;4;120610,00;0,00;120610,00;30152,50;530
"ELUSIVE PRINCESS         ";3;F;"PUR SANG";4;1;3;119250,00;51131,00;170381,00;29812,50;495
"ENGALIWE                 ";3;F;"PUR SANG";6;4;2;115300,00;83016,00;198316,00;19216,67;465
"JACKIE OH                ";3;F;"PUR SANG";1;0;1;114300,00;0,00;114300,00;114300,00;485
"GALLERIST                ";3;H;"PUR SANG";7;5;2;112350,00;80892,00;193242,00;16050,00;480
"HAYA ZARK                ";4;M;"PUR SANG";6;2;3;110100,00;54499,00;164599,00;18350,00;500
"ELIYASS                  ";4;H;"PUR SANG";7;6;1;109600,00;54251,00;163851,00;15657,14;465
"BIRR CASTLE              ";3;M;"PUR SANG";7;1;5;106750,00;76860,00;183610,00;15250,00;505
"LIFE IN MOTION           ";4;F;"PUR SANG";5;1;2;106580,00;0,00;106580,00;21316,00;490
"SHEMBALA                 ";3;F;"PUR SANG";9;4;5;106150,00;0,00;106150,00;11794,44;475
"JUNKO                    ";4;H;"PUR SANG";4;2;1;104720,00;43606,00;148326,00;26180,00;510
"AMERICAN FLAG            ";3;M;"PUR SANG";5;2;1;104615,00;60291,00;164906,00;20923,00;500
"ZABIARI                  ";2;M;"PUR SANG";5;2;3;104440,00;51843,00;156283,00;20888,00;485
"ABOVE THE CURVE          ";4;F;"PUR SANG";3;1;1;102675,00;0,00;102675,00;34225,00;515
"LAULNE                   ";2;F;"PUR SANG";6;3;3;101650,00;73188,00;174838,00;16941,67;470
"CAMBRONNE                ";3;M;"PUR SANG";11;4;5;101250,00;72900,00;174150,00;9204,55;485
"KERTEZ                   ";5;H;"PUR SANG";7;1;6;101250,00;50118,00;151368,00;14464,29;495
"MIRADOR                  ";2;H;"PUR SANG";1;1;0;100000,00;0,00;100000,00;100000,00;
"DAWN CHARGER             ";2;F;"PUR SANG";3;1;2;97800,00;0,00;97800,00;32600,00;460
"AZKA                     ";3;H;"PUR SANG";8;2;6;96750,00;69660,00;166410,00;12093,75;440
"ZARICA                   ";9;F;"PUR SANG";15;11;4;96000,00;38879,00;134879,00;6400,00;380
"AL NAYYIR                ";5;H;"PUR SANG";4;2;1;96000,00;0,00;96000,00;24000,00;505
"HOOKING                  ";7;H;"PUR SANG";6;3;3;95600,00;38718,00;134318,00;15933,33;480
"ZARAKEM                  ";3;M;"PUR SANG";6;5;1;93800,00;67536,00;161336,00;15633,33;470
"LA MEHANA                ";4;F;"PUR SANG";6;2;3;93240,00;39981,00;133221,00;15540,00;480
"DIVA DONNA               ";5;F;"PUR SANG";5;0;5;92080,00;33234,00;125314,00;18416,00;490
"IMMENSITUDE              ";3;F;"PUR SANG";7;2;4;92000,00;66240,00;158240,00;13142,86;490
"BOLTHOLE                 ";4;M;"PUR SANG";5;2;2;92000,00;0,00;92000,00;18400,00;505
"ZAGREY                   ";4;M;"PUR SANG";1;0;1;91440,00;28803,00;120243,00;91440,00;530
"UNQUESTIONABLE           ";2;M;"PUR SANG";1;0;1;91440,00;28803,00;120243,00;91440,00;500
"SHIFFRIN                 ";2;F;"PUR SANG";6;3;2;90500,00;51120,00;141620,00;15083,33;460
"THE FIXER                ";2;M;"PUR SANG";6;2;4;90400,00;0,00;90400,00;15066,67;440
"EXCELLENT TRUTH          ";3;F;"PUR SANG";7;3;2;90300,00;0,00;90300,00;12900,00;465
"PENSEE DU JOUR           ";3;F;"PUR SANG";6;3;1;90100,00;0,00;90100,00;15016,67;475
"GREY MAN                 ";2;M;"PUR SANG";5;3;2;89900,00;64728,00;154628,00;17980,00;470
"TULIPA CHOPE             ";2;F;"PUR SANG";4;2;2;89550,00;17676,00;107226,00;22387,50;460
"AL RIFFA                 ";3;M;"PUR SANG";1;0;1;88000,00;0,00;88000,00;88000,00;510
"CROWN PRINCESSE          ";3;F;"PUR SANG";5;2;2;87475,00;51409,00;138884,00;17495,00;485
"FENELON                  ";5;H;"PUR SANG";5;2;3;86900,00;43015,00;129915,00;17380,00;485
"LUMIERE ROCK             ";3;F;"PUR SANG";2;0;2;85750,00;0,00;85750,00;42875,00;505
"FIRST MINISTER           ";3;M;"PUR SANG";4;1;3;85110,00;0,00;85110,00;21277,50;500
"GREENLAND                ";3;M;"PUR SANG";4;1;3;84550,00;0,00;84550,00;21137,50;490
"MINOUSHKA                ";2;F;"PUR SANG";4;1;2;84100,00;14472,00;98572,00;21025,00;425
"WOODCHUCK                ";3;H;"PUR SANG";7;3;4;82200,00;59184,00;141384,00;11742,86;465
"HARRY WAY                ";3;H;"PUR SANG";7;1;4;81500,00;58680,00;140180,00;11642,86;475
"HALF HALF                ";3;M;"PUR SANG";9;2;5;80633,00;58055,00;138688,00;8959,22;445
"KINROSS                  ";6;H;"PUR SANG";1;0;1;80010,00;0,00;80010,00;80010,00;540
"WISE GIRL                ";3;F;"PUR SANG";4;1;3;78700,00;33538,00;112238,00;19675,00;495
"FREVILLE                 ";2;F;"PUR SANG";6;2;3;78600,00;47232,00;125832,00;13100,00;455
"NATIONAL SERVICE         ";6;H;"PUR SANG";10;2;5;78300,00;31711,00;110011,00;7830,00;475
"BEVAN                    ";4;H;"PUR SANG";9;3;4;78160,00;38686,00;116846,00;8684,44;405
"MR MOLIERE               ";3;H;"PUR SANG";9;2;5;77900,00;56088,00;133988,00;8655,56;505
"SHALROMY                 ";3;F;"PUR SANG";6;2;3;77750,00;55980,00;133730,00;12958,33;470
"ALCANTOR                 ";2;M;"PUR SANG";4;3;1;77100,00;55512,00;132612,00;19275,00;500
"STANGHELI                ";2;M;"PUR SANG";5;1;4;77100,00;20952,00;98052,00;15420,00;435
"SEVENNA'S KNIGHT         ";3;M;"PUR SANG";7;2;5;77000,00;0,00;77000,00;11000,00;480
"ZULU WARRIOR             ";3;M;"PUR SANG";7;3;4;76825,00;55314,00;132139,00;10975,00;480
"ELOUNDA QUEEN            ";3;F;"PUR SANG";5;2;3;75800,00;54576,00;130376,00;15160,00;465
"CRAPS                    ";5;M;"PUR SANG";8;2;4;75660,00;37450,00;113110,00;9457,50;445
"HAPTICS                  ";3;H;"PUR SANG";9;4;3;75600,00;54432,00;130032,00;8400,00;420
"CHIRIMIRI                ";5;H;"PUR SANG";7;2;5;75115,00;0,00;75115,00;10730,71;415
"PLAIN BEAU               ";8;H;"PUR SANG";13;2;8;74720,00;0,00;74720,00;5747,69;385
"APAX                     ";3;H;"PUR SANG";8;2;6;74350,00;53532,00;127882,00;9293,75;425
"FANTASTIC MOON           ";3;M;"PUR SANG";2;1;0;74100,00;0,00;74100,00;37050,00;535
"OTTERY                   ";3;F;"PUR SANG";6;2;3;73950,00;53244,00;127194,00;12325,00;500
"GOLDEN CALL              ";4;M;"PUR SANG";9;2;5;73500,00;36382,00;109882,00;8166,67;450
"LOVELY ANGEL             ";5;F;"PUR SANG";14;4;6;73210,00;36235,00;109445,00;5229,29;355
"ANDROMEDE                ";4;F;"PUR SANG";5;2;3;72500,00;35887,00;108387,00;14500,00;460
"DOURIANN                 ";4;H;"PUR SANG";6;2;3;72180,00;35727,00;107907,00;12030,00;470
"UNE PERLE                ";3;F;"PUR SANG";6;3;2;72000,00;51840,00;123840,00;12000,00;455
"MONAPIA                  ";3;H;"PUR SANG";8;2;4;71700,00;51624,00;123324,00;8962,50;445
"LASTOTCHKA               ";4;F;"PUR SANG";4;1;3;71250,00;35268,00;106518,00;17812,50;480
"FORT PAYNE               ";5;M;"PUR SANG";7;3;2;71050,00;35169,00;106219,00;10150,00;460
"QUARTZ DU HOULEY         ";3;M;"PUR SANG";8;1;7;69740,00;50212,00;119952,00;8717,50;395
"BIG CALL                 ";6;H;"PUR SANG";3;1;2;69650,00;0,00;69650,00;23216,67;500
"SKAZINO                  ";7;H;"PUR SANG";6;1;5;69230,00;26495,00;95725,00;11538,33;470
"LEFT SEA                 ";3;F;"PUR SANG";6;2;2;69000,00;49680,00;118680,00;11500,00;460
"CARAMELITO               ";4;H;"PUR SANG";5;2;1;68920,00;34114,00;103034,00;13784,00;445
"RISING UP                ";3;M;"PUR SANG";17;4;6;68800,00;49536,00;118336,00;4047,06;375
"SOUL SISTER              ";3;F;"PUR SANG";1;0;1;68580,00;0,00;68580,00;68580,00;525
"IZNIK                    ";3;F;"PUR SANG";7;2;5;68250,00;49140,00;117390,00;9750,00;455
"CRACK OF LIGHT           ";3;F;"PUR SANG";3;1;2;68100,00;0,00;68100,00;22700,00;460
"GLAER                    ";6;H;"PUR SANG";5;3;2;68000,00;27540,00;95540,00;13600,00;450
"HAVANA CIGAR             ";2;M;"PUR SANG";5;2;3;68000,00;0,00;68000,00;13600,00;460
"BACK TO BLACK            ";3;M;"PUR SANG";10;3;6;67800,00;48816,00;116616,00;6780,00;425
"WINTER PUDDING           ";3;M;"PUR SANG";5;1;3;67660,00;41765,00;109425,00;13532,00;470
"O TRASNO                 ";5;M;"PUR SANG";9;1;7;67630,00;33474,00;101104,00;7514,44;415
"MILL STREAM              ";3;M;"PUR SANG";2;2;0;67500,00;0,00;67500,00;33750,00;490
"BRAVE EMPEROR            ";3;H;"PUR SANG";2;2;0;67500,00;0,00;67500,00;33750,00;480
"AGILE                    ";4;F;"PUR SANG";5;2;2;67500,00;0,00;67500,00;13500,00;430
"EREVANN                  ";4;M;"PUR SANG";5;0;4;67495,00;27496,00;94991,00;13499,00;520
"ROCK BLANC               ";6;H;"PUR SANG";9;2;4;66720,00;27020,00;93740,00;7413,33;440
"FAST RAAJ                ";5;H;"PUR SANG";4;2;0;66000,00;32670,00;98670,00;16500,00;500
"RUSSIPANT FAL            ";4;M;"PUR SANG";6;2;4;65470,00;0,00;65470,00;10911,67;480
"GALORD                   ";4;H;"PUR SANG";8;2;3;65340,00;32341,00;97681,00;8167,50;410
"SIVKA BURKA              ";3;F;"PUR SANG";7;3;3;64500,00;46440,00;110940,00;9214,29;470
"PEDRITO                  ";4;H;"PUR SANG";10;1;6;64150,00;31751,00;95901,00;6415,00;425
"BOSIOH                   ";6;M;"PUR SANG";9;2;3;64020,00;25927,00;89947,00;7113,33;440
"LANAKEN                  ";5;H;"PUR SANG";6;1;5;63940,00;31648,00;95588,00;10656,67;455
"FLATTEN THE CURVE        ";4;H;"PUR SANG";11;2;6;63480,00;31420,00;94900,00;5770,91;365
"GREY TORNADO             ";3;M;"PUR SANG";6;2;3;63250,00;45540,00;108790,00;10541,67;460
"WATCH HIM                ";5;M;"PUR SANG";6;2;3;63240,00;31303,00;94543,00;10540,00;495
"BRAVAIS                  ";3;M;"PUR SANG";6;2;4;63150,00;0,00;63150,00;10525,00;505
"TARAJAL                  ";3;F;"PUR SANG";11;4;5;63100,00;41472,00;104572,00;5736,36;395
"THE REVENANT             ";8;H;"PUR SANG";4;1;3;63100,00;0,00;63100,00;15775,00;490
"GOLIATH                  ";3;H;"PUR SANG";4;3;1;63000,00;0,00;63000,00;15750,00;475
"NEPALAIS                 ";5;H;"PUR SANG";11;1;6;62800,00;31083,00;93883,00;5709,09;395
"TURN CARTWHEELS          ";3;F;"PUR SANG";6;1;5;62400,00;44928,00;107328,00;10400,00;465
"HILLARANTE               ";5;F;"PUR SANG";7;2;4;62360,00;30866,00;93226,00;8908,57;435
"ROCK JOYEUX              ";5;H;"PUR SANG";7;3;1;62090,00;30733,00;92823,00;8870,00;435
"KOVANOF                  ";3;M;"PUR SANG";8;2;6;62050,00;44676,00;106726,00;7756,25;425
"RUBIS VENDOME            ";3;M;"PUR SANG";7;1;3;62000,00;44640,00;106640,00;8857,14;480
"LARNO                    ";9;H;"PUR SANG";19;3;11;61740,00;25001,00;86741,00;3249,47;330
"KILOECHO                 ";7;H;"PUR SANG";5;1;2;61650,00;24968,00;86618,00;12330,00;460
"OUJDA                    ";3;F;"PUR SANG";8;3;1;61450,00;44244,00;105694,00;7681,25;450
"VICIOUS HARRY            ";3;M;"PUR SANG";6;1;4;61250,00;44100,00;105350,00;10208,33;470
"BRAZILIAN SURPRISE       ";4;F;"PUR SANG";9;2;5;61050,00;0,00;61050,00;6783,33;435
"SAJIR                    ";2;M;"PUR SANG";4;2;1;61000,00;0,00;61000,00;15250,00;460
"MY CHARMING PRINCE       ";6;M;"PUR SANG";10;1;7;61000,00;24702,00;85702,00;6100,00;400
"LIGHT WAKEUP             ";5;H;"PUR SANG";15;4;4;60840,00;0,00;60840,00;4056,00;350
"SHOWAY                   ";3;F;"PUR SANG";6;1;3;60750,00;43740,00;104490,00;10125,00;465
"DARKANIYA                ";4;F;"PUR SANG";7;2;3;60670,00;28743,00;89413,00;8667,14;490
"WONDER BOY               ";8;H;"PUR SANG";11;2;6;60350,00;24439,00;84789,00;5486,36;390
"KHAN                     ";4;H;"PUR SANG";10;2;7;60230,00;29810,00;90040,00;6023,00;365
"ALWAYS WELCOME           ";6;H;"PUR SANG";7;1;5;59850,00;24238,00;84088,00;8550,00;435
"I'M A BELIEVER           ";3;M;"PUR SANG";7;3;3;59750,00;43020,00;102770,00;8535,71;400
"MANIATIC                 ";3;M;"PUR SANG";4;0;4;59600,00;42912,00;102512,00;14900,00;485
"BARBADIN                 ";6;H;"PUR SANG";11;2;5;59520,00;24104,00;83624,00;5410,91;355
"FANG                     ";5;H;"PUR SANG";4;2;1;59200,00;29303,00;88503,00;14800,00;490
"BELGIAN PRINCE           ";6;H;"PUR SANG";9;4;4;58740,00;23787,00;82527,00;6526,67;420
"DECBOU                   ";6;H;"PUR SANG";10;3;4;58700,00;23771,00;82471,00;5870,00;395
"WOODSTOCK CITY           ";3;M;"PUR SANG";9;2;7;58700,00;34704,00;93404,00;6522,22;415
"WILD PANSY               ";3;F;"PUR SANG";8;2;5;58700,00;0,00;58700,00;7337,50;440
"DARIYM                   ";3;H;"PUR SANG";6;3;1;58600,00;42192,00;100792,00;9766,67;450
"HIGGLE                   ";3;F;"PUR SANG";8;2;5;58450,00;42084,00;100534,00;7306,25;440
"MA MOME                  ";2;F;"PUR SANG";12;4;7;58150,00;41868,00;100018,00;4845,83;355
"SHAHZAD                  ";4;H;"PUR SANG";6;2;2;58100,00;28759,00;86859,00;9683,33;450
"RASHFORD                 ";3;M;"PUR SANG";5;1;4;57750,00;41580,00;99330,00;11550,00;480
"SALAHUDIN                ";3;M;"PUR SANG";7;2;5;57500,00;41400,00;98900,00;8214,29;470
"VINTAGE KOD              ";3;H;"PUR SANG";7;2;4;57150,00;41148,00;98298,00;8164,29;405
"VIA SISTINA              ";5;F;"PUR SANG";1;0;1;57150,00;0,00;57150,00;57150,00;525
"SCARFACE                 ";5;H;"PUR SANG";17;1;14;57130,00;28274,00;85404,00;3360,59;325
"MAYMAY                   ";2;F;"PUR SANG";5;0;2;57000,00;6480,00;63480,00;11400,00;410
"AL KHAMSIN               ";6;H;"PUR SANG";10;3;5;56720,00;0,00;56720,00;5672,00;365
"NOLITO                   ";3;H;"PUR SANG";12;1;10;56670,00;40802,00;97472,00;4722,50;385
"MAX VERST                ";4;H;"PUR SANG";15;3;8;56180,00;27807,00;83987,00;3745,33;385
"KUMITE                   ";2;M;"PUR SANG";6;2;3;55500,00;0,00;55500,00;9250,00;440
"KENDLY                   ";3;M;"PUR SANG";5;2;2;55000,00;39600,00;94600,00;11000,00;470
"TROPISME                 ";3;H;"PUR SANG";6;2;3;54800,00;39456,00;94256,00;9133,33;410
"ART OF MAGIC             ";3;F;"PUR SANG";7;3;3;54750,00;0,00;54750,00;7821,43;455
"SUNBURST                 ";3;F;"PUR SANG";6;2;4;54400,00;39168,00;93568,00;9066,67;450
"LAURENT                  ";4;H;"PUR SANG";11;2;3;54350,00;26901,00;81251,00;4940,91;350
"MYCONIAN                 ";2;M;"PUR SANG";3;2;1;54100,00;0,00;54100,00;18033,33;450
"MR LE PHILOSOPHE         ";3;M;"PUR SANG";7;2;4;54050,00;0,00;54050,00;7721,43;405
"SUVIANA                  ";3;F;"PUR SANG";5;3;2;54000,00;0,00;54000,00;10800,00;425
"SPLENDINO                ";3;M;"PUR SANG";6;2;4;53750,00;38700,00;92450,00;8958,33;425
"MARSHMAN                 ";3;M;"PUR SANG";2;1;1;53650,00;0,00;53650,00;26825,00;510
"INDIA                    ";5;F;"PUR SANG";2;1;1;53650,00;0,00;53650,00;26825,00;505
"MAGELLAN                 ";3;M;"PUR SANG";8;2;6;53600,00;38592,00;92192,00;6700,00;380
"PANNETONE                ";5;F;"PUR SANG";12;4;4;53560,00;26511,00;80071,00;4463,33;350
"HARIQ                    ";5;H;"PUR SANG";11;4;4;53560,00;26510,00;80070,00;4869,09;360
"SEE YOU PINK             ";4;F;"PUR SANG";5;3;0;53500,00;26481,00;79981,00;10700,00;415
"SWING FOR ME             ";3;M;"PUR SANG";4;3;1;53500,00;38520,00;92020,00;13375,00;460
"SANS VOIX                ";2;F;"PUR SANG";3;2;1;53500,00;38520,00;92020,00;17833,33;445
"DIVA DU DANCING          ";6;F;"PUR SANG";10;3;5;53250,00;21565,00;74815,00;5325,00;415
"SOSINO                   ";3;M;"PUR SANG";6;1;5;53050,00;38196,00;91246,00;8841,67;460
"GREAT ROTATION           ";4;M;"PUR SANG";8;1;6;53045,00;26256,00;79301,00;6630,63;420
"QUICKSTEP                ";3;F;"PUR SANG";4;2;1;53000,00;38160,00;91160,00;13250,00;475
"ETERNEL'S BEAUTE         ";2;F;"PUR SANG";4;1;3;53000,00;15120,00;68120,00;13250,00;415
"IMPITOYABLE              ";4;H;"PUR SANG";10;1;7;52610,00;26039,00;78649,00;5261,00;390
"EVERILLO                 ";4;H;"PUR SANG";6;3;2;52420,00;25946,00;78366,00;8736,67;420
"ISMAEL PAINT             ";5;H;"PUR SANG";16;2;9;52300,00;25886,00;78186,00;3268,75;375
"ZEROSTRESS               ";7;H;"PUR SANG";7;1;5;52240,00;0,00;52240,00;7462,86;480
"GALEGO STAR              ";4;H;"PUR SANG";8;4;1;52060,00;25768,00;77828,00;6507,50;375
"PUTUMAYO                 ";8;H;"PUR SANG";18;4;5;52000,00;21059,00;73059,00;2888,89;350
"NARANCO                  ";4;M;"PUR SANG";2;1;1;52000,00;0,00;52000,00;26000,00;500
"BEB'S                    ";6;M;"PUR SANG";12;4;6;51900,00;21019,00;72919,00;4325,00;340
"SANTHIA                  ";3;F;"PUR SANG";12;4;4;51500,00;37080,00;88580,00;4291,67;395
"MONARCHIC                ";4;M;"PUR SANG";4;1;3;51500,00;0,00;51500,00;12875,00;455
"SHOULDVEBEENARING        ";3;M;"PUR SANG";2;0;2;51445,00;0,00;51445,00;25722,50;510
"TOPGEAR                  ";4;M;"PUR SANG";6;1;3;51400,00;25443,00;76843,00;8566,67;500
"LOLIWOOD                 ";4;F;"PUR SANG";10;1;6;51350,00;25417,00;76767,00;5135,00;450
"BULLACE                  ";5;H;"PUR SANG";7;2;4;51010,00;0,00;51010,00;7287,14;405
"ANCIENT ROME             ";4;M;"PUR SANG";6;1;5;51000,00;0,00;51000,00;8500,00;500
"MIKA D'O                 ";5;H;"PUR SANG";5;1;3;50600,00;25047,00;75647,00;10120,00;460
"LUNALA                   ";3;F;"PUR SANG";11;2;7;50000,00;36000,00;86000,00;4545,45;390
"BAHIA BLANCA             ";2;F;"PUR SANG";10;2;6;49850,00;35892,00;85742,00;4985,00;415
"SIAM PARAGON             ";4;M;"PUR SANG";7;3;1;49800,00;24650,00;74450,00;7114,29;460
"HASAPIKO                 ";3;F;"PUR SANG";8;2;5;49700,00;35784,00;85484,00;6212,50;440
"FAKARAVA                 ";2;F;"PUR SANG";3;2;1;49500,00;35640,00;85140,00;16500,00;460
"LADY MAG                 ";6;F;"PUR SANG";21;4;8;49350,00;19986,00;69336,00;2350,00;280
"MON VIEUX LEON           ";5;H;"PUR SANG";7;2;4;49250,00;24377,00;73627,00;7035,71;375
"LESSLEPASSER             ";4;H;"PUR SANG";10;2;6;49160,00;24332,00;73492,00;4916,00;420
"SHADY LADY               ";2;F;"PUR SANG";4;2;1;49000,00;35280,00;84280,00;12250,00;455
"EVADE                    ";2;M;"PUR SANG";4;1;2;49000,00;35280,00;84280,00;12250,00;455
"PIANINO                  ";3;H;"PUR SANG";10;3;6;48900,00;35208,00;84108,00;4890,00;380
"TEN HORNS                ";2;M;"PUR SANG";5;2;3;48800,00;35136,00;83936,00;9760,00;430
"ANTIFONA                 ";2;F;"PUR SANG";7;2;5;48800,00;35136,00;83936,00;6971,43;395
"GET AHEAD                ";4;F;"PUR SANG";2;0;2;48585,00;0,00;48585,00;24292,50;495
"PLESANT JANE             ";4;F;"PUR SANG";5;1;3;48550,00;24032,00;72582,00;9710,00;460
"NIGHTHAB                 ";4;M;"PUR SANG";9;2;2;48520,00;24017,00;72537,00;5391,11;410
"SILAWI                   ";3;M;"PUR SANG";7;1;5;48450,00;34884,00;83334,00;6921,43;470
"KOUTSOUNAKOS             ";8;H;"PUR SANG";11;4;1;48300,00;0,00;48300,00;4390,91;370
"AGADOR                   ";4;M;"PUR SANG";5;4;1;48200,00;23858,00;72058,00;9640,00;430
"PARCHEMIN                ";5;H;"PUR SANG";6;1;5;48000,00;0,00;48000,00;8000,00;450
"DIVIN PROPOS             ";3;H;"PUR SANG";7;2;5;47850,00;34452,00;82302,00;6835,71;445
"HAVE DANCER              ";6;M;"PUR SANG";8;2;3;47620,00;19285,00;66905,00;5952,50;455
"BELLE ET GRISE           ";3;F;"PUR SANG";7;3;3;47600,00;34272,00;81872,00;6800,00;440
"PERAMA                   ";3;F;"PUR SANG";7;1;5;47550,00;34236,00;81786,00;6792,86;460
"AUENWOLF                 ";9;H;"PUR SANG";13;4;5;47520,00;0,00;47520,00;3655,38;330
"AUTUMN STARLIGHT         ";3;F;"PUR SANG";5;1;2;47500,00;34200,00;81700,00;9500,00;460
"QUEEN LADY               ";5;F;"PUR SANG";5;2;1;47420,00;23471,00;70891,00;9484,00;405
"TOLLEVAST                ";4;H;"PUR SANG";5;2;2;47370,00;23447,00;70817,00;9474,00;425
